scheme,subject,multiplier,m_sens,m_tol,median
composite,0,1.75,1.75,2.5,0.11862246504393759
composite,1,0.75,0.75,2.25,0.11862246504393759
composite,2,2.25,2.25,2.25,0.11999121025447795
composite,3,2.5,0.5,2.5,0.11999121025447795
composite,4,1.75,1.75,2.5,0.11862246504393759
composite,5,2.75,0.5,2.75,0.11999121025447795
composite,6,2.0,2.0,2.0,0.11999121025447795
composite,7,1.0,1.0,2.5,0.11862246504393759
composite,8,0.5,0.5,2.75,0.11862246504393759
composite,9,1.75,1.75,2.75,0.11862246504393759
composite,10,1.75,1.75,1.75,0.11999121025447795
composite,11,2.5,1.75,2.5,0.11999121025447795
composite,12,2.0,2.0,2.75,0.11862246504393759
composite,13,1.75,1.75,2.75,0.11862246504393759
composite,14,2.75,2.25,2.75,0.11999121025447795
composite,15,3.0,2.25,3.0,0.11999121025447795
calibration marker,0,2.25,1.75,2.25,-36.82451970247521
calibration marker,1,2.25,2.0,2.25,-36.82451970247521
calibration marker,2,2.25,2.25,2.25,-36.82451970247521
calibration marker,3,2.0,2.0,2.0,-36.82451970247521
calibration marker,4,1.75,1.75,2.0,-37.70416883317131
calibration marker,5,2.0,2.0,2.0,-37.70416883317131
calibration marker,6,2.0,2.25,2.0,-36.82451970247521
calibration marker,7,2.0,2.0,2.0,-37.70416883317131
calibration marker,8,3.0,2.25,3.0,-36.82451970247521
calibration marker,9,2.0,2.0,1.75,-37.70416883317131
calibration marker,10,1.75,1.75,1.75,-37.70416883317131
calibration marker,11,1.75,1.75,1.75,-36.82451970247521
calibration marker,12,2.25,2.25,1.75,-37.70416883317131
calibration marker,13,2.0,2.0,1.5,-37.70416883317131
calibration marker,14,1.5,2.25,1.5,-36.82451970247521
calibration marker,15,2.25,2.25,2.25,-37.70416883317131
