f,ba,pa,bb,pb,rho,pc
hrv,1.101680889691111,0.01738093538803838,-0.05259421169854573,0.25463847396683403,0.9999999999999999,
hr,-0.7613448950739192,0.33605517743189495,-0.003369652942196287,0.958770487785361,0.9999999999999999,
resp,2.2717379711755643,0.0022126485128644907,-0.02222588138436185,0.7485299789317721,-0.9999999999999999,
eda_p,-0.09775677557002854,0.8839892927217461,-0.03138151762390172,0.4288608750011854,0.9999999999999999,
eda_t,0.2052675880114362,0.758584570972336,0.027733923233396816,0.4789401599864548,-0.9999999999999999,
pup,0.16347934342247641,0.8355827701146483,0.10892772318750556,0.07982180130383157,-0.9999999999999999,
theta,0.5410656463699037,0.7222583407837541,0.03523491184461606,0.3970539058829996,0.9999999999999999,
alpha,1.2794388324764663,0.3576936761687871,0.03424177950551396,0.41679716772138464,0.9999999999999999,
beta,1.0834222946202947,0.04560614189535245,0.014788608448966262,0.7381356132825041,0.9999999999999999,
gamma,0.7118130600159699,0.1341401162727351,0.020289928457510042,0.6767050274177243,0.9999999999999999,
theta_beta,-2.580792024467407,0.028010193544262034,0.04334043559602857,0.3047010892377461,-0.9999999999999999,
alpha_theta,0.5452625599532597,0.38947501648208926,-0.08425550266122799,0.045592169036965564,-0.9999999999999999,
hrv_sd,-1.4304969877358136,0.04850028273885753,-0.018950913946397478,0.7177362434615986,0.9999999999999999,
hr_sd,0.44062441416942033,0.6643929242642874,-0.05549210978595875,0.34476311740479304,0.9999999999999999,
pup_sd,-0.48567454509103364,0.5411602735701869,-0.09330634345844131,0.17411804843723377,-0.9999999999999999,
