subj_id,cal_level,cal_sd,cal_iqr,cal_volatility,cal_frac_high,theta,alpha,beta,gamma,theta_beta,alpha_theta,hr,hrv,resp,eda_p,eda_t,pup,hrv_sd,hr_sd,pup_sd,subject
1,52.01329937689276,41.33120268655985,90.38640669462376,13.869521463442673,0.48627450980392156,0.05348897721943463,0.06496836724901986,0.10754808727850466,0.13118212716340277,0.4973494050240103,1.2146122552033827,2.4644813953701674,-2.214809810324567,-0.031027275451672862,-0.49945829849633905,0.49674423376911764,-1.3918431240384892,1.6029330866370022,2.3701814760960445,0.3195179567213554,0
2,52.85576278159154,37.70416883317131,78.94286293329421,15.8663008106565,0.445,0.04585247475678886,0.04631835244602676,0.0447401591090746,0.03959459332319299,1.0248616828787418,1.0101603608465848,2.125585027434404,-1.4446771477447926,0.21644782525276482,-0.32402005820624485,0.3216367204533863,-2.260861633918666,2.2195609662904707,2.637209720018357,0.3641219729716698,1
3,54.45021436508624,41.59135988745312,90.04434367509347,12.401475647899435,0.5043478260869565,0.07545635661029851,0.13560501394690982,0.17954980327462533,0.12802633190234677,0.42025307315367183,1.7971317465969732,5.413613794264241,-0.5084790476321486,0.004910971067907547,-0.3253193000312161,0.3526348049906199,-2.9971192149746697,1.8383082196062832,10.633330156222245,0.7696304201337155,2
4,47.67645740464941,44.46045641849509,96.13529390226525,10.09334809021954,0.4417808219178082,0.033092411269845606,0.06255718757411666,0.16325397746918693,0.2337022376066802,0.20270508432844506,1.8903786449408684,0.7259018565258977,0.47178809231052277,0.5558187506326578,-0.3714570312177515,0.3461540626737904,-0.03731674777543979,0.9633476341826612,4.4528691155675775,0.2676695582159663,3
5,14.915642982123451,29.053400982742154,4.899134326168239,11.617663934697509,0.09740259740259741,0.09769659467636753,0.14569673355130133,0.2597166003421398,0.4126367319959715,0.3761661539834809,1.491318443943112,9.52396740505429,-0.8757586478698685,-0.9458820604844217,-0.3642495431352706,0.35975020084473297,-0.18693559521918796,1.3076955099104113,13.469901582160961,0.29116538701426237,4
6,55.957800205104526,35.10482502062484,66.07915464892332,16.454653670298615,0.4732510288065844,1.6408835287661359,0.7443762013789716,0.33583409649530904,0.1236461942303114,4.8859944415711105,0.45364353309019206,2.6206824193045772,-0.6734106720541686,-0.037212567067267416,-0.3921422779986008,0.3872188825001501,-0.6842259354239671,0.6151520744766837,1.8868461457863324,0.4546367947020867,5
7,47.642200949289446,40.91294848276028,90.53882282036663,14.067064526823604,0.4064516129032258,0.0710111883683644,0.10370455219311231,0.2246353456125791,0.36526426940860324,0.3161176090731285,1.4603973623868103,0.5405433880513306,0.49304624267521713,0.5214711933457035,-0.41235198491568464,0.4096809243907559,-0.3285939559381226,1.340420330571867,1.6040247886945984,0.17075716714046835,6
8,53.60136141671891,36.26148514526096,71.73041270367246,15.171815419939305,0.43171806167400884,0.06416631509285198,0.07457872708886427,0.1014347023070825,0.09308841469374386,0.6325874048370099,1.162272244883394,2.7015554579654855,-2.5110914982843924,0.1933090738970189,-0.1925181981935073,0.19720511770947402,-9.161903063704829,1.3718707914981971,2.8622521003467103,1.6660610271131069,7
9,53.0910969182769,40.02765979844932,85.2185085033823,14.138849077170457,0.48616600790513836,0.02514260546143056,0.06265550761552197,0.02591502737542756,0.024040527759872275,0.9701940537122717,2.492005361641506,2.7876713324264952,-2.2744397147206117,0.2748412790968396,0.5821217570724314,-0.4035831930709394,-1.9992968861355296,1.7033067010481635,2.893090384943724,0.3456968814912511,8
10,49.0161769218497,35.99766060810281,71.46706322871549,17.965401496081853,0.4053030303030303,0.029256602684621446,0.0555737900709203,0.1889823636719436,0.19329932393929752,0.1548112856467828,1.8995298486974472,1.7535846362123895,-1.176568785807204,0.2781831504572788,-0.3374250418608954,0.30566028724386424,-1.327925066987943,0.8741268583079047,1.16110844526106,0.4355333095810046,9
11,45.13436195554463,36.82451970247521,75.70194284810451,20.3252980189111,0.35944700460829493,0.038455668785982285,0.06611791729928469,0.15870534947235596,0.23006674142613573,0.2423085857775744,1.7193282391538005,-0.26707412451892154,1.1626954514157983,0.11694315166604549,-0.25367291364404837,0.2540601372258935,-0.7748636140107161,2.764736213627059,1.1527392238334788,0.11683312819984862,10
12,51.59533165626587,40.371903360617594,87.60242124718381,13.445796287073962,0.44155844155844154,0.019395068887933794,0.0259680966091772,0.05019504894306374,0.059753432742652275,0.3863940626880079,1.3389020043817772,1.4676455078497141,-0.701138217567039,0.293963356820287,-0.12950439102035324,0.11869394494012034,-0.4624714973401818,0.7420895897792716,1.5029103258628906,0.1576001902197487,11
