measure,beta,p,p_holm,loo_p_max,loo_n_sig
cal_sd,2.3900203859970772,0.0016190942639038536,0.027524602486365513,0.037377166275143224,16.0
resp,2.161621659735825,0.0022126485128645384,0.035402376205832614,0.20949829880293258,15.0
hrv,1.0991187307265846,0.017380935388037227,0.26071403082055844,,
theta_beta,-2.5458761228932794,0.028010193544267512,0.3921427096197452,,
cal_level,-2.2361562266365964,0.029250284616949267,0.3921427096197452,,
cal_volatility,-1.5924992457489922,0.038093193315792855,0.4571183197895142,,
cal_iqr,1.8796670686095522,0.04201855283401884,0.46220408117420725,,
beta,1.0495424805431581,0.045606141895354356,0.46220408117420725,,
hrv_sd,-1.373123279823039,0.04850028273885909,0.46220408117420725,,
gamma,0.6743423419648287,0.13414011627273342,1.0,,
hr,-0.7521286817340513,0.33605517743187474,1.0,,
alpha,1.2640475623491345,0.357693676168778,1.0,,
cal_frac_high,-0.8130704113154158,0.36109201185491424,1.0,,
theta,0.5354754110448033,0.7222583407837535,1.0,,
eda_t,0.2027337977460395,0.7585845709723104,1.0,,
pup,0.16207725015987248,0.8355827701146793,1.0,,
eda_p,-0.09643360365985088,0.883989292721727,1.0,,
