subject,difficulty,condition,duration_s,final,peak,mean
0,0,2,65.46875,75.03045733712925,90.5445497323973,24.710666808604174
0,1,2,39.7734375,18.115950461548916,81.15070616476291,24.87518907895013
0,0,1,79.484375,97.15535169013397,99.5426233629328,64.84651443795387
0,1,3,63.0546875,62.68825411001683,93.19621644073342,32.45242665067589
0,0,3,69.30859375,92.78919701173032,97.1642164764277,24.704918879665808
0,1,1,61.06640625,91.05532778970586,99.18545066044939,39.85150593207663
0,0,2,73.3515625,95.57832901991857,98.76997231632343,61.12350250565522
0,1,3,63.125,96.02143018292081,98.20011024306083,28.143811044561648
0,0,1,71.26171875,54.78089294283213,84.82805902028326,17.60840167752764
0,1,2,55.06640625,72.96286138516614,91.20876140398329,25.165037929470675
0,0,1,87.51171875,97.3830498598478,98.38203001310758,40.75879762387484
0,1,3,61.11328125,94.21674326714013,97.85508505888343,33.025322222755314
0,0,3,87.45703125,99.94643435582974,99.97656061711244,47.06917688664881
0,1,3,63.10546875,86.82505948131075,94.01741854388729,11.432300975600167
0,0,2,89.4609375,99.39942996119866,99.97324650208336,38.29351354026232
0,1,1,61.08984375,99.36997979351993,99.46036582081338,17.812733461078697
0,0,2,37.12109375,2.0425556776478433,3.0239488829890813,0.5677025254299045
0,1,1,67.1328125,28.909373685736636,57.60978565213524,11.776800548561338
0,0,1,69.32421875,41.02150510386011,74.63128362697877,17.423888531645357
0,1,3,73.08203125,98.93539834246614,99.38376860457615,27.082016486168698
0,0,2,89.37890625,85.82911419022086,98.1643823643136,21.786910491022233
0,1,3,71.07421875,2.006043812652249,73.44047289421039,12.307863503172229
0,0,1,89.41015625,66.66289352800207,87.01623769649095,11.694009334198899
0,1,2,64.91796875,75.63541103583353,94.02130311725928,28.55111732879353
1,0,3,33.1484375,97.4415363232629,98.64276201719987,73.05417046759672
1,1,2,33.0234375,36.01481795943195,90.86613354698976,27.890689947419403
1,0,3,73.421875,72.40637763046277,92.34262943349245,30.398598068047296
1,1,2,61.10546875,92.90662910489077,96.08334458629572,30.02491683528866
1,0,1,61.234375,4.389261252751675,35.41974068903788,6.038538993251333
1,1,1,51.0390625,18.1083592055199,73.53127370117079,28.054144018576995
1,0,2,79.5078125,83.9452785310398,99.96706887112194,51.28388581530768
1,1,3,69.25,4.339434229065206,71.76161599657674,10.754859626878215
1,0,3,67.42578125,20.564864609175494,73.9179165320775,25.61511361163678
1,1,1,35.05859375,0.6258405082125577,19.279708928077294,3.2031366984005425
1,0,1,85.6328125,47.96789845646119,81.38569148651413,22.43879691699459
1,1,2,67.26953125,9.177362705337375,92.90618700584955,39.226639667326005
1,0,2,61.28515625,52.600702766859875,74.20823976500147,15.87218837611646
1,1,2,45.0390625,25.914458527764864,56.36878070598978,10.873174880493826
1,0,1,65.25,61.006055033409005,96.90291121899936,32.23932943770156
1,1,3,37.0546875,0.098388747341821,80.48961493756886,16.92706703533224
2,0,2,63.53515625,87.62684563496884,94.73085704415493,34.86875566389799
2,1,3,41.35546875,74.0130313309201,97.2288089164346,39.03261481472258
2,0,3,67.6796875,98.9603845167635,99.65720575057098,29.686922535042136
2,1,1,33.04296875,95.03425429637292,98.6101212414892,27.00359099785601
2,0,1,61.58984375,98.11322498667143,99.46203748719805,35.14949296391602
2,1,2,33.125,45.949094081513145,95.98873089083122,23.811555588226565
2,0,2,61.5859375,99.41673451471996,99.68729580247285,32.17922092037541
2,1,1,39.078125,93.84297637644868,97.98516496784684,38.50410901306789
2,1,2,10.73828125,47.92340260308416,79.12889710228556,15.602801254191586
2,1,2,37.109375,95.24062047389573,99.52444866071662,42.071316766321914
2,0,3,61.67578125,88.70594635800622,98.24198637730521,43.36845073968063
2,1,3,21.06640625,58.438963250475304,91.86916290224347,33.576974931158865
2,0,2,63.59765625,99.68570802701619,99.96569950133582,40.67331530782643
2,1,1,47.06640625,91.43734647674266,94.67852724980608,43.02757716451611
2,0,2,65.41015625,8.428771993900707,66.78444315562795,18.33007569371578
2,1,1,47.09375,96.64678809149409,98.2178561073125,46.95581384342368
2,0,3,89.671875,99.88139096218602,99.97593586362589,40.79218866938997
2,1,3,55.29296875,99.22967928338608,99.64354163476703,35.605967913179974
2,0,1,53.23828125,15.568090717659771,75.38353401264794,27.88856039801396
2,1,1,37.01953125,20.48797471306949,41.26476530012643,12.80531736414024
2,0,2,67.27734375,98.06377554445437,98.42119080692967,46.57433239768436
2,1,3,45.1015625,98.41521864902192,99.52528559537551,23.726621301844
2,0,2,41.33203125,99.53922952307465,99.91477706459584,23.157681560550238
2,1,3,38.37890625,72.49468502635843,93.76831946769974,13.464895771062205
3,0,2,31.1875,99.15735922902167,99.80984195324288,35.26861706741488
3,0,3,38.04296875,99.11636510954081,99.41865262020302,20.42603972541873
3,1,1,33.1328125,99.29488251196726,99.71136686670678,50.38823314011463
3,0,2,63.8828125,99.13675961382307,99.9510552672141,47.10292292795413
3,1,3,37.41015625,93.40968520825406,99.75683007525095,65.7391564822324
3,0,2,65.48828125,97.88216326942864,99.74944477460573,54.064231843344274
3,1,3,35.078125,21.952103327374385,94.07509758012495,37.92718028755554
3,0,1,77.546875,99.41568351747628,99.91941665142886,43.47162831232943
3,1,3,53.078125,92.6793718143071,95.21305996212232,31.512281100846998
3,0,2,37.37109375,99.96257771345405,99.9997653778378,37.08637315061307
3,1,1,31.08984375,89.02401927871983,96.93259875476933,57.79498565119381
3,0,3,53.3046875,93.28370118693594,96.837798934143,41.92100128401043
3,1,2,43.3984375,98.64755865999139,99.78351821495009,50.73878532423622
3,0,1,57.2734375,92.39912119083162,97.13536909319564,27.71271381237743
3,0,2,63.44140625,96.59375137776375,98.90127114120014,42.7288677519804
3,1,3,63.2421875,88.26324311044061,98.60463082706187,53.955333604376186
3,0,3,69.38671875,97.16138277889438,99.50599801955971,43.31367887792041
3,1,1,35.0703125,24.597058185251544,78.28467545424543,23.98625798048694
3,0,2,61.53125,97.98965897945901,99.84904725190894,49.91850632274619
3,1,3,63.1875,96.88020556669915,99.65201196503789,45.59809416867408
3,0,2,61.36328125,45.04302255155195,97.88340906382447,40.489401832768934
3,1,1,64.94140625,99.85801751273637,99.98732847150254,55.877325809057716
4,0,1,25.0546875,25.69880058771928,35.81088928200516,4.908973237054733
4,1,1,29.37109375,76.03756152784261,81.14497274447751,10.46075632609907
4,0,1,25.05078125,87.63572189415153,91.23739703703453,19.476182004646496
4,1,3,57.0625,78.11416279213827,96.53528597507679,38.18664221159219
4,0,2,79.41015625,98.88203682247875,99.9824683316833,38.76208579034615
4,1,2,35.0,0.8930407820783898,3.225859427795011,1.6407768047920859
4,0,3,67.33203125,97.30009211186957,99.80158904449124,35.48464289332551
4,1,2,45.02734375,97.8589082707711,98.99154262255364,26.819562666050125
4,0,1,73.22265625,96.01198229548318,98.34713963219397,32.73872133814166
4,1,1,43.02734375,96.46311638427339,98.53212907174597,22.67561654696426
4,0,3,65.23828125,98.21650637923119,99.85724785585042,35.10903819480811
4,1,2,41.0234375,77.86530038212567,93.60696182836561,20.369819164859212
4,0,3,51.18359375,97.171661085478,99.77632387152912,31.38253606031167
4,1,2,63.0859375,80.94604046741046,93.30599019084673,31.87249581459683
4,0,1,39.08984375,75.78986614235612,99.73529041911982,28.13903927327433
4,1,2,59.03515625,81.0036256931162,98.48414267036544,37.0063758879664
4,0,1,67.3046875,89.8988608638396,98.52057817979237,33.6243482510095
4,1,3,49.01171875,40.87495797511222,70.99436437925364,16.164367402686906
4,1,1,31.03125,63.89334746771851,89.42984202718709,19.22082894111084
4,0,3,89.38671875,74.14287593920734,98.44049549139535,37.454566151874374
4,1,2,65.05078125,75.02872024070047,99.6080272591391,26.482175291577473
4,0,1,77.3046875,99.66534053256453,99.96232253469205,15.491926978995744
4,1,2,32.96484375,74.2397356389556,83.36913103711836,16.797229329872586
5,0,3,73.546875,75.86801093666546,87.55816771938198,42.96602588538518
5,1,2,45.14453125,13.706737665016915,46.88688626179003,17.105665884413256
5,0,2,83.34375,72.92944407230627,81.3622177537661,30.20634584008293
5,1,1,31.03125,23.061417061835215,57.979058036919845,27.084495003824287
5,0,1,67.33203125,90.52647257122686,91.69333788527616,31.8063768210837
5,1,3,45.21875,23.39675187429189,63.34987242665632,23.1224417013063
5,0,3,61.32421875,35.29500350738679,62.61699390938452,13.773313924044341
5,1,3,45.16015625,19.927215753128944,29.233303134939025,6.968779067667414
5,0,2,87.46875,92.59448237657269,97.68589641494634,44.99954983835225
5,1,2,63.1171875,41.381987090722866,77.54795454551001,34.170006827727384
5,0,1,87.37109375,58.97899811142323,79.04022789418497,31.077828079557175
5,1,1,65.15625,59.778419824079855,82.59245578348423,29.709784933708907
5,0,1,63.16015625,78.11257544853272,88.43707979406862,18.513599999280306
5,0,3,51.37109375,14.567863496203515,42.664133326108086,12.231871547069103
5,1,2,45.078125,10.670321831788973,51.204236806600974,15.915911256667036
5,0,2,71.51171875,18.477274110346723,70.50561719209749,19.51222448816452
5,1,1,63.18359375,82.8343907207048,85.20895561837965,20.240962198764286
5,0,1,71.359375,22.723810154511117,57.98879709357652,22.462476578540706
5,0,2,63.32421875,57.15772961264931,68.96890489648804,28.965913603098702
5,1,3,37.08984375,64.76904189234257,75.11147216692459,39.02546997480326
5,0,1,85.41015625,91.2306754172779,97.71015282820922,40.30622069866078
5,1,2,49.078125,62.15476174195419,84.58647532232013,38.85824236445596
5,0,3,64.6640625,89.63987299858597,94.43907239239698,34.70957527228967
6,0,2,35.46875,45.049486536218346,79.55060161964444,27.19670718141919
6,0,1,69.49609375,93.06917127698546,98.77847262377676,35.981498050920734
6,1,1,43.1484375,2.787306272626252,42.20358049344175,16.70239117940487
6,0,3,69.6875,94.61712936545818,99.72684701282166,57.45357245855648
6,1,2,45.08984375,89.99509836888144,95.85635158927145,34.45837369609141
6,0,1,35.40625,79.93909726693566,89.2333047000398,41.485995281594555
6,1,2,31.12890625,84.75364796401182,98.03270392318275,57.243930671096756
6,0,2,51.484375,99.83414335680408,99.99865139174078,52.80990644706982
6,1,3,51.21484375,99.87648067329435,99.99075542468057,69.75800783258966
6,0,1,23.125,22.41435320047574,33.56847080946896,13.95273040571655
6,1,3,47.2890625,99.93002350635702,99.98677404733955,74.22915504037704
6,0,3,61.38671875,99.99011824306376,99.99924623773624,75.36610833964018
6,1,1,45.12109375,50.553503917104884,98.35551806926426,54.52813187822929
6,0,1,77.58203125,99.9953064528467,99.99965530845405,64.90141589605516
6,1,3,63.10546875,99.80507475866462,99.97061713756513,77.73726185772536
6,0,2,71.32421875,98.47596183861621,99.84815146973033,83.74430543132951
6,1,2,33.03125,78.4314515785915,98.225165399032,60.38271235496719
6,0,3,63.66015625,99.99999921513809,99.99999994115369,75.41733044055451
6,1,2,37.328125,98.20766821372119,99.6418906466721,79.05365552137803
6,0,2,63.375,99.52515350733962,99.99939464304471,66.13925488224714
6,1,1,33.1015625,60.674431706230884,96.63460921648395,66.29773371175693
6,0,3,71.5078125,98.69509946108003,99.99727181785481,74.40545587524258
6,1,1,46.41796875,77.77227747883474,93.10207742817684,42.25892819022109
7,0,1,69.39453125,92.91214999267068,94.76711905508402,42.028420862504596
7,1,2,57.11328125,57.03577034777677,95.01434768712575,33.36040986056847
7,0,3,65.4609375,61.83822768686648,69.55146714745239,20.713691748719572
7,0,2,63.41015625,89.44876785410476,93.0518641451277,42.6937396746782
7,1,1,47.0625,60.534735905004545,77.53943411931843,26.636308904040657
7,0,3,63.36328125,77.74075937354185,87.51691141921093,41.732778965910015
7,1,2,39.08203125,19.646037274994068,55.21597822576963,15.251925535629296
7,0,2,65.32421875,66.40346307036818,82.5114007500072,27.39530696119521
7,1,1,33.078125,27.659158937839607,63.57720534120661,20.86424687447881
7,0,3,67.2421875,54.68896387340023,76.02356679578467,31.060214472801096
7,0,3,55.2421875,10.907177015195357,72.6896910767311,30.442047526371883
7,1,3,63.18359375,66.1471741030306,95.28990848939686,54.55176233255856
7,0,3,33.1875,6.690584997468309,54.348014934130354,17.77101395332327
7,1,2,33.0390625,0.41223265890421956,18.019689639162372,4.81067706728628
7,0,1,63.3671875,23.754718631045236,78.14004687045494,25.223970584783007
