step,model,outcome,cluster,beta_quad,p_quad,vertex,joint_chi2,p_joint
published,LMM subject RI,crash5,subject (model-based SE),2.7984946816960204e-05,3.4602459922460956e-10,,,
crash5 binomial,logit GEE,crash5,trial (173),1.6649782723608777,0.042857328333407954,23.13133284429606,,
crash5 binomial,logit GEE,crash5,subject (16),1.5306001912696021,0.06803157457320491,17.974052520989034,,
"person-period, full window","cloglog GEE, sandwich",event,subject (16),0.9574391073732779,0.25128388049397576,7.721868423889509,11.534607659236304,0.003128180261451802
"person-period, full window","cloglog GEE, bias-reduced",event,subject (16),0.9574391073732779,0.33259142543839093,7.721868423889509,9.119930396235818,0.010462423049104325
"person-period, full window","logit GEE, sandwich",event,subject (16),1.1263680584885887,0.22344322383966075,10.189535874833828,11.20682571136961,0.003685264952387092
"person-period, full window","logit GEE, bias-reduced",event,subject (16),1.1263680584885887,0.30112749127035476,10.189535874833828,8.818454993462916,0.012164571872708618
"person-period, t >= 28s","cloglog GEE, sandwich",event,subject (16),1.3880815824941917,0.11303201497867345,25.29386031690477,10.765011405494047,0.004596290551062263
"person-period, t >= 28s","cloglog GEE, bias-reduced",event,subject (16),1.3880815824941917,0.1896295500941052,25.29386031690477,8.673183697647133,0.013081034461318293
"person-period, t >= 28s","logit GEE, sandwich",event,subject (16),1.6140135823891835,0.09484910669698807,26.623564931059242,10.338602233624728,0.005688543057398667
"person-period, t >= 28s","logit GEE, bias-reduced",event,subject (16),1.6140135823891835,0.16485435597334264,26.623564931059242,8.31167343403375,0.015672672050503503
homogeneity,arousal x late interaction,event,subject (16),,,,6.595987389542157,0.03695724057470695
