subject,condition,t,tb,arousal,above,crash3,crash5
0,2,0,0,0.0,0.0,0.0,0.0
0,2,1,0,21.79547076014847,1.0,0.0,0.0
0,2,2,0,29.31544883621691,1.0,0.0,0.0
0,2,3,0,21.726090226527457,1.0,0.0,0.0
0,2,4,0,15.70561701574259,1.0,0.0,0.0
0,2,5,1,15.380921913884315,1.0,0.0,0.0
0,2,6,1,22.921004339989732,1.0,0.0,0.0
0,2,7,1,36.717611154240814,1.0,0.0,0.0
0,2,8,1,59.6411528264589,1.0,0.0,0.0
0,2,9,1,78.08200265580844,1.0,0.0,0.0
0,2,10,2,72.64358044290485,1.0,0.0,0.0
0,2,11,2,45.877939866244006,1.0,0.0,0.0
0,2,12,2,25.267150780336983,1.0,0.0,0.0
0,2,13,2,15.051028064930303,0.0,0.0,0.0
0,2,14,2,11.557318158226176,0.0,0.0,0.0
0,2,15,3,10.682731945304589,0.0,0.0,0.0
0,2,16,3,12.420072155478085,0.0,0.0,0.0
0,2,17,3,32.51703470909146,1.0,0.0,0.0
0,2,18,3,46.75341943984459,1.0,0.0,0.0
0,2,19,3,32.09938631429026,1.0,0.0,0.0
0,2,20,4,18.071902481912304,0.0,0.0,0.0
0,2,21,4,10.938194206926173,0.0,0.0,0.0
0,2,22,4,7.260098839509978,0.0,0.0,0.0
0,2,23,4,5.750222364248261,0.0,0.0,0.0
0,2,24,4,5.953760822948839,0.0,0.0,0.0
0,2,25,5,10.164681892041862,0.0,0.0,0.0
0,2,26,5,18.250426061656032,0.0,0.0,0.0
0,2,27,5,20.071057218220496,0.0,0.0,0.0
0,2,28,5,20.164532785655886,0.0,0.0,0.0
0,2,29,5,19.392511136434255,0.0,0.0,0.0
0,2,30,6,16.90669266385625,0.0,0.0,0.0
0,2,31,6,17.828730833173438,0.0,0.0,0.0
0,2,32,6,17.539831847926408,0.0,0.0,0.0
0,2,33,6,17.885023186653576,0.0,0.0,0.0
0,2,34,6,32.003018565265535,0.0,0.0,1.0
0,2,35,7,40.18625257972593,0.0,0.0,1.0
0,2,36,7,31.900730376392886,0.0,1.0,1.0
0,2,37,7,22.37572119706153,0.0,1.0,1.0
0,2,38,7,16.647658490755212,0.0,1.0,1.0
0,3,0,0,0.0,0.0,0.0,0.0
0,3,1,0,4.6452683865882065,0.0,0.0,0.0
0,3,2,0,4.255784990940592,0.0,0.0,0.0
0,3,3,0,2.324142691222462,0.0,0.0,0.0
0,3,4,0,1.201487871688574,0.0,0.0,0.0
0,3,5,1,1.0058667166383386,0.0,0.0,0.0
0,3,6,1,2.7528684570315063,0.0,0.0,0.0
0,3,7,1,7.781702457110469,0.0,0.0,0.0
0,3,8,1,13.614796864331002,1.0,0.0,0.0
0,3,9,1,9.049632928784487,0.0,0.0,0.0
0,3,10,2,4.75387360397745,0.0,0.0,0.0
0,3,11,2,2.7411378619413833,0.0,0.0,0.0
0,3,12,2,4.341990178275038,0.0,0.0,0.0
0,3,13,2,9.179502389293917,0.0,0.0,0.0
0,3,14,2,24.187299439842302,1.0,0.0,0.0
0,3,15,3,41.178918171118745,1.0,0.0,0.0
0,3,16,3,41.38833722315425,1.0,0.0,0.0
0,3,17,3,25.052202980386447,1.0,0.0,0.0
0,3,18,3,13.172022735234062,0.0,0.0,0.0
0,3,19,3,7.089812887580692,0.0,0.0,0.0
0,3,20,4,4.225387512454725,0.0,0.0,0.0
0,3,21,4,3.073483850751654,0.0,0.0,0.0
0,3,22,4,2.4654570730993037,0.0,0.0,0.0
0,3,23,4,3.38836739712524,0.0,0.0,0.0
0,3,24,4,4.620212859348855,0.0,0.0,0.0
0,3,25,5,3.525126123051706,0.0,0.0,0.0
0,3,26,5,4.676475585339995,0.0,0.0,0.0
0,3,27,5,10.921779903479726,0.0,0.0,0.0
0,3,28,5,16.2067496238286,0.0,0.0,0.0
0,3,29,5,16.856307406628744,0.0,0.0,0.0
0,3,30,6,15.412884285566674,0.0,0.0,0.0
0,3,31,6,10.08426345010616,0.0,0.0,0.0
0,3,32,6,5.453175219930149,0.0,0.0,0.0
0,3,33,6,2.8542952698378974,0.0,0.0,0.0
0,3,34,6,2.67190250520981,0.0,0.0,0.0
0,3,35,7,4.4712310925882495,0.0,0.0,0.0
0,3,36,7,12.872365576999297,0.0,0.0,0.0
0,3,37,7,39.41708045332493,0.0,0.0,0.0
0,3,38,7,43.977798479824116,0.0,0.0,0.0
0,3,39,7,33.898078507656024,0.0,0.0,0.0
0,3,40,8,51.18422589287084,0.0,0.0,0.0
0,3,41,8,78.53381509073219,0.0,0.0,0.0
0,3,42,8,84.75247798747361,0.0,0.0,0.0
0,3,43,8,75.79353161548894,0.0,0.0,0.0
0,3,44,8,58.594422670059515,0.0,0.0,0.0
0,3,45,9,58.052682837767705,0.0,0.0,0.0
0,3,46,9,73.23804448320607,0.0,0.0,0.0
