subject,real,real_changed,auc_phase_stratified,n_strata_usable,n_pairs,shift2 (published),shift2 (published)_changed,cross-trial,cross-trial_changed,reversed,reversed_changed,phase-perm,phase-perm_changed,block-perm,block-perm_changed,auc_position_only
1,96.87654320987654,0.0,,0,0,96.57407407407408,6.694560669456067,96.61728395061728,0.0,92.96913580246913,83.92156862745098,96.5493827160494,0.0,96.68518518518519,0.0,100.0
2,92.15151515151516,0.0,,0,0,90.02331002331002,6.382978723404255,92.82828282828284,0.0,90.6161616161616,78.0,92.71717171717171,0.0,92.74747474747474,0.0,100.0
3,97.47809523809524,0.0,,0,0,97.6,6.481481481481481,97.35619047619048,0.0,98.72761904761904,86.08695652173914,97.05142857142857,0.0,97.20380952380953,0.0,100.0
4,99.39436619718309,0.0,,0,0,99.75622968580716,6.985294117647059,99.38967136150234,0.0,96.0093896713615,88.35616438356165,99.37089201877934,0.0,99.22065727699531,0.0,100.0
5,97.01797385620915,0.0,,0,0,99.71264367816092,6.7164179104477615,96.56862745098039,0.0,91.54411764705883,23.376623376623375,96.609477124183,0.0,96.65032679738562,0.0,100.0
6,88.67494824016562,0.0,,0,0,87.28300684822423,6.11353711790393,87.99171842650104,0.0,89.15113871635612,82.3045267489712,87.55003450655624,0.0,88.32988267770875,0.0,100.0
7,96.69999999999999,0.0,,0,0,95.72549019607844,6.993006993006993,97.1,0.0,90.25,82.58064516129032,96.7,0.0,96.36666666666667,0.0,100.0
8,88.2320701534607,0.0,,0,0,87.28706052917724,5.633802816901409,87.61352959599124,0.0,85.28030065768868,73.12775330396477,88.52959599123082,0.0,87.4725963044159,0.0,100.0
9,95.99624060150376,0.0,,0,0,96.53701561596299,6.751054852320674,95.80827067669173,0.0,89.67418546365916,77.4703557312253,95.13784461152882,0.0,96.01503759398497,0.0,100.0
10,89.18670722608046,0.0,,0,0,87.87011777230687,6.504065040650407,89.12931182919131,0.0,86.33989554037767,86.36363636363636,89.03747919416863,0.0,88.79067898754519,0.0,100.0
11,93.6082474226804,0.0,,0,0,86.20142743854083,7.960199004975125,89.8904297209382,3.686635944700461,90.63573883161511,78.3410138248848,92.16494845360825,0.9216589861751152,93.35910652920963,0.0,99.54896907216495
12,95.16877637130801,0.0,,0,0,94.29406037000973,6.944444444444445,95.084388185654,0.0,94.45991561181435,83.11688311688312,95.21940928270041,0.0,95.0801687763713,0.0,100.0
17,90.72370766488412,0.0,,0,0,94.1875771287536,6.309148264984227,89.81105169340464,4.154302670623145,90.3885918003565,88.4272997032641,88.174688057041,4.154302670623145,90.84135472370767,0.0,98.31550802139037
18,93.94616977225672,0.0,93.93939393939394,3,66,91.52412804586719,6.872852233676976,87.34690499834493,7.07395498392283,92.13664596273291,94.53376205787781,89.20496894409938,7.07395498392283,93.8592132505176,0.0,98.43892339544513
19,94.14444444444445,0.0,,0,0,95.47863247863248,6.451612903225806,93.8,0.0,85.6814814814815,83.03030303030303,93.68148148148148,0.0,94.10740740740741,0.0,100.0
20,84.68769325912183,0.0,,0,0,84.31151771053248,6.8493150684931505,84.69593898165326,0.0,81.80993609565039,83.33333333333334,84.91857349000206,0.0,84.93506493506493,0.0,100.0
