subject,difficulty,condition,arousal,remaining,total,bin
0,0,2,47.65071481645363,35.46875,65.46875,"(45, 60]"
0,1,2,17.608641818801704,9.7734375,39.7734375,"(15, 30]"
0,0,1,53.86248975447188,49.484375,79.484375,"(45, 60]"
0,1,3,10.437287728465753,33.0546875,63.0546875,"(0, 15]"
0,0,3,5.649434881920393,39.30859375,69.30859375,"(0, 15]"
0,1,1,8.014302601985907,31.06640625,61.06640625,"(0, 15]"
0,0,2,18.225989758268902,43.3515625,73.3515625,"(15, 30]"
0,1,3,2.752152318996182,33.125,63.125,"(0, 15]"
0,0,1,7.655957838473552,41.26171875,71.26171875,"(0, 15]"
0,1,2,0.013986160250600791,25.06640625,55.06640625,"(0, 15]"
0,0,1,27.509496915206977,57.51171875,87.51171875,"(15, 30]"
0,1,3,8.603202866266283,31.11328125,61.11328125,"(0, 15]"
0,0,3,4.511042795242152,57.45703125,87.45703125,"(0, 15]"
0,1,3,0.19910707323470858,33.10546875,63.10546875,"(0, 15]"
0,0,2,25.880010680712438,59.4609375,89.4609375,"(15, 30]"
0,1,1,1.5441144839219334,31.08984375,61.08984375,"(0, 15]"
0,0,2,0.013955947978877451,7.12109375,37.12109375,"(0, 15]"
0,1,1,2.28074244594393,37.1328125,67.1328125,"(0, 15]"
0,0,1,0.624290722226067,39.32421875,69.32421875,"(0, 15]"
0,1,3,8.229410620275143,43.08203125,73.08203125,"(0, 15]"
0,0,2,1.0924887515814548,59.37890625,89.37890625,"(0, 15]"
0,1,3,7.799006888792701,41.07421875,71.07421875,"(0, 15]"
0,0,1,0.012631513796901191,59.41015625,89.41015625,"(0, 15]"
0,1,2,2.9497380023057778,34.91796875,64.91796875,"(0, 15]"
1,0,3,97.9228465514075,3.1484375,33.1484375,"(60, 100]"
1,1,2,16.69736100157504,3.0234375,33.0234375,"(15, 30]"
1,0,3,24.848319596970416,43.421875,73.421875,"(15, 30]"
1,1,2,9.777145388854313,31.10546875,61.10546875,"(0, 15]"
1,0,1,10.49176970732709,31.234375,61.234375,"(0, 15]"
1,1,1,26.48458124824897,21.0390625,51.0390625,"(15, 30]"
1,0,2,16.71513584192702,49.5078125,79.5078125,"(15, 30]"
1,1,3,35.67811561488039,39.25,69.25,"(30, 45]"
1,0,3,54.473493080983964,37.42578125,67.42578125,"(45, 60]"
1,1,1,3.819052698507272,5.05859375,35.05859375,"(0, 15]"
1,0,1,6.526832384415826,55.6328125,85.6328125,"(0, 15]"
1,1,2,41.06133586603063,37.26953125,67.26953125,"(30, 45]"
1,0,2,0.4592488061068386,31.28515625,61.28515625,"(0, 15]"
1,1,2,0.03533134663664716,15.0390625,45.0390625,"(0, 15]"
1,0,1,15.242408067061593,35.25,65.25,"(15, 30]"
1,1,3,3.770495944841298,7.0546875,37.0546875,"(0, 15]"
2,0,2,2.6783012172137726,33.53515625,63.53515625,"(0, 15]"
2,1,3,85.24501412055079,11.35546875,41.35546875,"(60, 100]"
2,0,3,0.9267888033024644,37.6796875,67.6796875,"(0, 15]"
2,1,1,68.80871294445747,3.04296875,33.04296875,"(60, 100]"
2,0,1,13.60854523065926,31.58984375,61.58984375,"(0, 15]"
2,1,2,86.75757035895609,3.125,33.125,"(60, 100]"
2,0,2,4.851879350095433,31.5859375,61.5859375,"(0, 15]"
