subject,n_trials,group,m_applied,m_sens_train,m_tol_train,d_sens_train,d_tol_train
0,6,sensitive,1.75,1.75,2.5,1.1406823598372324,1.1277875565198545
1,6,sensitive,0.75,0.75,2.25,1.2224222805741871,1.1445470627012797
2,8,tolerant,2.25,2.25,2.25,1.2086902814199538,1.2103781140261884
3,5,tolerant,2.5,0.5,2.5,1.2277846895297437,1.126978763846644
4,10,sensitive,1.75,1.75,2.5,1.3600543630771158,1.111206806107675
5,7,tolerant,2.75,0.5,2.75,1.2456075070560833,1.1581442496828327
6,8,tolerant,2.0,2.0,2.0,1.1325528138255097,0.913560118912426
7,8,sensitive,1.0,1.0,2.5,1.5001607932327976,1.1111087016574712
8,5,sensitive,0.5,0.5,2.75,1.1648943213270666,1.1062837371686929
9,6,sensitive,1.75,1.75,2.75,1.5291206892984075,1.1075535222344783
10,7,tolerant,1.75,1.75,1.75,1.1973125424214983,1.4450564400638937
11,7,tolerant,2.5,1.75,2.5,1.2242566210643149,1.4535810516095582
12,6,sensitive,2.0,2.0,2.75,1.2121245983159752,1.1175132983959706
13,7,sensitive,1.75,1.75,2.75,1.3524801327143567,1.1182870587302414
14,9,tolerant,2.75,2.25,2.75,1.2721351510668222,1.3729509728884257
15,8,tolerant,3.0,2.25,3.0,1.2550319331732602,1.0426409286864469
