feature_set,subject,n_train,n_test,auc,acc,auc_sd_reps
physio,1,3833,255,91.28395061728396,82.74509803921568,2.586311713861639
physio,2,3888,200,84.53535353535354,73.0,1.0128414005239803
physio,3,3858,230,90.03428571428572,77.82608695652173,2.803188336984817
physio,4,3796,292,91.28638497652582,70.8904109589041,0.5563000587929408
physio,5,3934,154,86.9281045751634,23.376623376623375,0.2747880728568969
physio,6,3845,243,54.15458937198068,49.382716049382715,1.7979781224819174
physio,7,3933,155,77.43333333333332,68.38709677419355,2.589312077953722
physio,8,3861,227,87.04979642968993,72.68722466960352,0.85802618121012
physio,9,3835,253,79.4172932330827,69.96047430830039,1.9125403163925936
physio,10,3824,264,77.83389772140274,66.28787878787878,1.162583871124183
physio,11,3871,217,77.36254295532646,61.29032258064516,1.0269587589098486
physio,12,3780,308,60.39662447257383,54.54545454545454,2.9983180949224786
physio,17,3751,337,60.613190730837786,56.37982195845698,1.6332538732681907
physio,18,3777,311,70.2111801242236,51.12540192926045,3.339554995903943
physio,19,3758,330,65.71851851851851,56.666666666666664,1.282765359857336
physio,20,3776,312,63.970315398886825,60.89743589743589,0.9217983906380334
eeg,1,3833,255,82.29012345679013,60.3921568627451,0.4468527571552542
eeg,2,3888,200,61.676767676767675,47.0,2.449448088690564
eeg,3,3858,230,87.90095238095238,80.0,0.4687004597152268
eeg,4,3796,292,58.1924882629108,52.3972602739726,5.586807774558028
eeg,5,3934,154,80.75980392156863,36.36363636363637,0.8783471363219051
eeg,6,3845,243,70.0,51.85185185185185,2.558463553245414
eeg,7,3933,155,53.89999999999999,51.61290322580645,2.5584464325344296
eeg,8,3861,227,65.36172878171,45.37444933920705,2.7828166786579223
eeg,9,3835,253,63.51503759398497,54.1501976284585,1.5957446492957317
eeg,10,3824,264,66.205590311657,62.121212121212125,1.3091981034057079
eeg,11,3871,217,66.29725085910653,47.004608294930875,1.4440743430809404
eeg,12,3780,308,82.45147679324893,55.519480519480524,1.5147855622306574
eeg,17,3751,337,79.14438502673796,72.70029673590504,1.3056567473096503
eeg,18,3777,311,60.33540372670807,55.30546623794213,2.069781828246157
eeg,19,3758,330,65.58148148148149,60.909090909090914,1.4839809162700488
eeg,20,3776,312,79.54236239950525,67.3076923076923,1.1414618756091361
