subject,difficulty,condition,size,arousal,t_s
0,0,2,large,0.08264307011680616,2.984375
0,0,2,large,0.9046720056627835,4.99609375
0,0,2,large,2.3813432007444066,7.0234375
0,0,2,large,6.839572290625663,9.03515625
0,0,2,large,17.369116177873817,11.03515625
0,0,2,large,12.782152230756793,13.05078125
0,0,2,large,20.813470391816434,15.05078125
0,0,2,large,24.383956139017386,17.05078125
0,0,2,large,7.3186258645462345,19.07421875
0,0,2,large,2.5444042274507384,21.11328125
0,0,2,large,0.7598345042713339,23.11328125
0,0,2,large,26.555007054936404,25.140625
0,0,2,large,51.33961347810991,27.15234375
0,0,2,large,41.54261887098948,29.15234375
0,0,2,medium,63.80552254044643,31.1796875
0,0,2,medium,21.883208936063316,33.1796875
0,0,2,medium,8.788946556938171,35.20703125
0,0,2,medium,10.866429338104524,37.20703125
0,0,2,medium,4.143193485410059,39.2265625
0,0,2,medium,4.938412983714986,41.234375
0,0,2,medium,27.39948842706002,43.24609375
0,0,2,medium,21.06883191424859,45.24609375
0,0,2,medium,43.346081131653925,47.26171875
0,0,2,medium,83.90156145869614,49.328125
0,0,2,medium,46.26680451166391,51.33984375
0,0,2,medium,31.15769048618054,53.3515625
0,0,2,medium,49.6600005972703,55.37890625
0,0,2,medium,24.50964495267076,57.390625
0,0,2,medium,7.795650936473885,59.40625
0,0,2,small,6.233430567088355,61.43359375
0,0,2,small,56.755490794919616,63.4609375
0,1,2,large,29.349405405543575,2.9921875
0,1,2,large,15.737224190561792,4.9921875
0,1,2,large,22.836068806366153,6.9921875
0,1,2,large,59.74094139675171,9.00390625
0,1,2,large,72.56068518756297,11.00390625
0,1,2,large,25.21039572265083,13.00390625
0,1,2,large,11.549049912123174,15.00390625
0,1,2,large,12.448696471796719,17.00390625
0,1,2,large,46.72665859713756,19.00390625
0,1,2,large,17.88010427302673,21.01953125
0,1,2,large,7.184877155291329,23.03125
0,1,2,large,6.009922037704811,25.04296875
0,1,2,large,18.449466580496495,27.0390625
0,1,2,large,20.198755175457165,29.0546875
0,1,2,medium,16.85922920621873,31.05859375
0,1,2,medium,17.434173786934707,33.0546875
0,1,2,medium,33.11695493113208,35.06640625
0,1,2,medium,24.403046270009852,37.75
0,0,1,large,3.3613137132505253,2.984375
0,0,1,large,28.636954798847068,4.984375
0,0,1,large,49.178453102870435,6.99609375
0,0,1,large,32.601604128499076,9.01171875
0,0,1,large,14.054300075923072,11.01171875
0,0,1,large,5.2858834479888355,13.0234375
0,0,1,large,2.647596098702641,15.01953125
0,0,1,large,7.142329793721592,17.0234375
0,0,1,large,5.87595971012308,19.0234375
0,0,1,large,2.921790190389959,21.05078125
0,0,1,large,2.5173713310388175,23.0625
0,0,1,large,23.714810890535247,25.08984375
0,0,1,large,56.36481975775116,27.08984375
