subject,physio,motor,shuffled,shifted
1,96.0,94.93209876543209,48.99691358024691,96.20014245014245
2,92.04040404040404,86.75252525252526,35.631313131313135,89.27738927738929
3,97.1542857142857,81.28,48.053333333333335,97.76263736263736
4,99.10328638497651,97.44835680751174,49.20657276995305,99.60725893824485
5,96.48692810457517,95.81290849673204,53.06372549019609,99.80842911877394
6,87.56728778467908,79.3374741200828,54.661835748792264,86.90078037904125
7,96.48333333333335,82.22500000000001,51.9,95.87254901960785
8,87.83667397431883,91.07422486689633,56.67475728155339,86.74338528452338
9,95.42919799498746,86.52568922305764,46.94862155388471,96.50448235974551
10,89.32445617861447,75.58112839350284,46.874820639384716,88.16953889147648
11,93.46219931271477,84.63917525773196,49.59621993127147,85.85448057097543
12,94.9789029535865,91.07383966244726,50.75316455696203,93.74391431353457
17,90.18181818181819,89.30303030303031,44.17825311942959,94.16495269436446
18,93.16149068322981,79.28778467908903,50.28571428571429,91.44768275203057
19,93.69074074074074,92.53518518518518,48.974074074074075,95.60897435897435
20,84.01360544217687,72.03050917336631,46.34920634920635,83.42950973492846
