subject,theta,alpha,beta,gamma,theta_beta,alpha_theta,hr,hrv,resp,eda_p,eda_t,pup,hrv_sd,hr_sd,pup_sd,hrv_z,hr_z,resp_z,eda_p_z,eda_t_z,pup_z,theta_z,alpha_z,beta_z,gamma_z,theta_beta_z,alpha_theta_z,hrv_sd_z,hr_sd_z,pup_sd_z
0,0.05348897721943463,0.06496836724901986,0.10754808727850466,0.13118212716340277,0.4973494050240103,1.2146122552033827,2.4644813953701674,-2.214809810324567,-0.031027275451672862,-0.49945829849633905,0.49674423376911764,-1.3918431240384892,1.6029330866370022,2.3701814760960445,0.3195179567213554,-1.0357538205666263,-0.0024001447358948072,-0.5762418487145826,-0.8795734955437632,0.9456620422411407,0.02143688030423116,-0.2540375656921779,-0.361921309741656,-0.4498212857068914,-0.282955964552328,-0.2615187768940587,-0.6609705618231395,0.19580533571052908,-0.25481560473833736,-0.3041104095467018
1,0.04585247475678886,0.04631835244602676,0.0447401591090746,0.03959459332319299,1.0248616828787418,1.0101603608465848,2.125585027434404,-1.4446771477447926,0.21644782525276482,-0.32402005820624485,0.3216367204533863,-2.260861633918666,2.2195609662904707,2.637209720018357,0.3641219729716698,-0.3427056316146548,-0.14444174337930665,0.05489263439533222,-0.3224483394114829,0.3177599398436535,-0.35782535862577747,-0.2732658352989985,-0.4727083538140613,-1.1755813845025824,-0.9958680363613946,0.20497286456668912,-1.0900974655290978,1.0830168786495518,-0.18043163016499134,-0.18094723240830932
2,0.07545635661029851,0.13560501394690982,0.17954980327462533,0.12802633190234677,0.42025307315367183,1.7971317465969732,5.413613794264241,-0.5084790476321486,0.004910971067907547,-0.3253193000312161,0.3526348049906199,-2.9971192149746697,1.8383082196062832,10.633330156222245,0.7696304201337155,0.49978609651164774,1.2336694039038103,-0.48458872249522494,-0.32657423752465253,0.4289131512774168,-0.6791472815143869,-0.19872498044140313,0.0576829304431902,0.38217515228798404,-0.30752049253372166,-0.3296968950433787,0.5616876408632057,0.5344658825033695,2.0469852545636718,0.9387660335149465
3,0.033092411269845606,0.06255718757411666,0.16325397746918693,0.2337022376066802,0.20270508432844506,1.8903786449408684,0.7259018565258977,0.47178809231052277,0.5558187506326578,-0.3714570312177515,0.3461540626737904,-0.03731674777543979,0.9633476341826612,4.4528691155675775,0.2676695582159663,1.3819358858098318,-0.7310908019133553,0.9203885689862641,-0.4730901319407404,0.40567444695925076,0.6125873567447262,-0.3053949339442553,-0.37624448705447605,0.19387312591627642,0.5150546518894853,-0.5220797506923076,0.7574048431536795,-0.7244378366096422,0.3253424420027545,-0.44727719196433213
4,0.09769659467636753,0.14569673355130133,0.2597166003421398,0.4126367319959715,0.3761661539834809,1.491318443943112,9.52396740505429,-0.8757586478698685,-0.9458820604844217,-0.3642495431352706,0.35975020084473297,-0.18693559521918796,1.3076955099104113,13.469901582160961,0.29116538701426237,0.1692684154005845,2.956441475562613,-2.9093913260911664,-0.45020188980701875,0.45442760198023874,0.5472898073571216,-0.14272535289645402,0.11763096782483601,1.3085209856181739,1.9078704180147725,-0.368684005209397,-0.08018812210196703,-0.2289860086710781,2.8371468259511956,-0.3823991570345182
5,1.6408835287661359,0.7443762013789716,0.33583409649530904,0.1236461942303114,4.8859944415711105,0.45364353309019206,2.6206824193045772,-0.6734106720541686,-0.037212567067267416,-0.3921422779986008,0.3872188825001501,-0.6842259354239671,0.6151520744766837,1.8868461457863324,0.4546367947020867,0.3513628843033908,0.0630683738101254,-0.5920161662745325,-0.5387786119628815,0.5529250486913058,0.3302593923774274,3.7429297054953463,3.673978203368248,2.1880762127732813,-0.3416152311040132,3.619464306974949,-2.2581783185174005,-1.2254257581172863,-0.38945455675353025,0.06898750351033726
6,0.0710111883683644,0.10370455219311231,0.2246353456125791,0.36526426940860324,0.3161176090731285,1.4603973623868103,0.5405433880513306,0.49304624267521713,0.5214711933457035,-0.41235198491568464,0.4096809243907559,-0.3285939559381226,1.340420330571867,1.6040247886945984,0.17075716714046835,1.401066255584525,-0.8087800770879198,0.8327921693780451,-0.602956958160097,0.6334696413257825,0.4854664210441813,-0.2099176558607695,-0.131816000232235,0.9031489945262126,1.539125906247702,-0.4217863602796496,-0.14508880707355612,-0.1819011466506173,-0.46823789564569346,-0.7148772646114356
7,0.06416631509285198,0.07457872708886427,0.1014347023070825,0.09308841469374386,0.6325874048370099,1.162272244883394,2.7015554579654855,-2.5110914982843924,0.1933090738970189,-0.1925181981935073,0.19720511770947402,-9.161903063704829,1.3718707914981971,2.8622521003467103,1.6660610271131069,-1.3023799451778786,0.09696468190134473,-0.004118004796845996,0.09515157592133379,-0.1284280248424532,-3.369619001514157,-0.2271526491590594,-0.3048327030903817,-0.5204628593131189,-0.5794752214964476,-0.14192460028608267,-0.7708277320842174,-0.13664984860636759,-0.11774333004217881,3.4140418252750946
8,0.02514260546143056,0.06265550761552197,0.02591502737542756,0.024040527759872275,0.9701940537122717,2.492005361641506,2.7876713324264952,-2.2744397147206117,0.2748412790968396,0.5821217570724314,-0.4035831930709394,-1.9992968861355296,1.7033067010481635,2.893090384943724,0.3456968814912511,-1.0894152210721235,0.13305841920376318,0.20381316096134863,2.555113584832379,-2.2827401745140254,-0.2436717120215486,-0.3254120831763544,-0.3756604346086505,-1.3931101243457062,-1.1169399840474972,0.15662898114402324,2.020167464829247,0.34022408849565877,-0.1091529497001756,-0.23182365557744267
9,0.029256602684621446,0.0555737900709203,0.1889823636719436,0.19329932393929752,0.1548112856467828,1.8995298486974472,1.7535846362123895,-1.176568785807204,0.2781831504572788,-0.3374250418608954,0.30566028724386424,-1.327925066987943,0.8741268583079047,1.16110844526106,0.4355333095810046,-0.1014328954846271,-0.30035822778130283,0.21233591839305344,-0.36501747142739227,0.2604715013802268,0.04933237982401551,-0.31505327714490605,-0.41772809846896,0.49117056362183553,0.2005607062397454,-0.5644333748651119,0.7766124310588802,-0.8528097523759945,-0.5916176458329613,0.01623786077134084
10,0.038455668785982285,0.06611791729928469,0.15870534947235596,0.23006674142613573,0.2423085857775744,1.7193282391538005,-0.26707412451892154,1.1626954514157983,0.11694315166604549,-0.25367291364404837,0.2540601372258935,-0.7748636140107161,2.764736213627059,1.1527392238334788,0.11683312819984862,2.0036886268992946,-1.147276719222598,-0.19887362553309043,-0.09905255162389456,0.07544321751732735,0.2907027563318169,-0.29189056306301375,-0.35509261531822384,0.14131268011619244,0.4867561596662124,-0.4870574333469564,0.39838478494402285,1.8674215225548492,-0.5939489945499495,-0.8637754248755197
