parameter,column,beta,p,lr,p_lr,auc,auc_marginal,fires
above universal band (reference),above_fixed,0.05107535111518669,7.322733862225167e-10,37.85082830025931,7.636595312547473e-10,57.83987675934989,49.9490126533412,27.373563977287734
"above universal band, retuned x1.75",above_tuned,0.049865945542095336,5.161701945400798e-08,29.6049041234146,5.2970749908936624e-08,57.818498991488,48.30778364889133,19.99207711607025
above per-subject band (calibration SD),above_subject,0.05083598578680164,6.715848928417897e-10,38.01781517173367,7.010160357991673e-10,57.98031458071987,49.93410508029408,27.3999735903869
above ADAPTIVE band (trailing 10 s SD),above_adaptive,0.03645380519213873,3.3910603641201616e-06,21.55411136397015,3.439844717531604e-06,56.12624020259982,51.49626362793456,32.37818565958009
sustained above band (>=3 s),sustained,0.05216332413517181,6.407283969854894e-09,33.64103754294047,6.62795573911911e-09,56.692077583711274,50.560438575628794,21.088076059685726
excess over universal band (graded),excess_fixed,0.001261622409922456,9.911595608407818e-09,32.79185810103809,1.02573570389885e-08,59.16671261769206,50.126748839277404,27.373563977287734
excess over ADAPTIVE band (graded),excess_adaptive,0.001647004235742155,3.227671553067827e-11,43.91977099026553,3.4211552106986805e-11,57.76883745532066,52.78276994771147,32.37818565958009
rate of change of arousal,rate,5.5654023589278134e-05,0.9167642740436084,0.01092255997355096,0.9167637981456032,50.307999716238264,50.06576566329222,56.609005678066815
above_adaptive | above_fixed,above_adaptive,-0.0036930636629228207,0.7701212994561417,0.08539032792759826,0.7701212994561417,,,
sustained | above_fixed,sustained,0.02239851440543541,0.1278063267008962,2.3189493309691898,0.1278063267008962,,,
rate | above_fixed,rate,-0.0012641186545286234,0.026054658577808486,4.952387838318828,0.026054658577808486,,,
excess_adaptive | excess_fixed,excess_adaptive,0.0020214664706707792,0.0006555128659742073,11.611329228988325,0.0006555128659742073,,,
